ID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
23,-73.9784164428711,40.7493705749512,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
24,-73.9831466674805,40.7667655944824,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75
25,-73.8927001953125,40.6744689941406,1,18.65,0.0,0.0,0.0,0.0,0.3,18.95
26,-73.9699401855469,40.7854194641113,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8
27,-73.9782028198242,40.7452239990234,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8
28,-73.9872589111328,40.7494506835937,1,7.5,0.5,0.5,1.2,0.0,0.3,10.0
29,-73.9539794921875,40.784351348877,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
30,-73.9913635253906,40.7275543212891,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
31,-73.9834213256836,40.7657890319824,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35
32,-73.9923629760742,40.7590484619141,1,8.0,0.5,0.5,0.0,0.0,0.3,9.3
33,-73.9867935180664,40.71826171875,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8
34,-73.7896423339844,40.6468276977539,1,59.0,0.0,0.5,5.0,0.0,0.0,64.5
